Date,VIX,SOX,DJIA,IXIC,SP500,FnG
2016-06-06,13.65,703.7,17920.33,4968.71,2109.41,80.0
2016-06-07,14.05,710.55,17938.28,4961.75,2112.13,81.0
2016-06-08,14.08,710.19,18005.05,4974.64,2119.12,80.0
2016-06-09,14.64,710.92,17985.19,4958.62,2115.48,79.0
2016-06-10,17.03,699.04,17865.34,4894.55,2096.07,61.0
2016-06-13,20.97,695.42,17732.48,4848.44,2079.06,53.0
2016-06-14,20.5,695.47,17674.82,4843.55,2075.32,50.0
2016-06-15,20.14,694.86,17640.17,4834.93,2071.5,50.0
2016-06-16,19.37,694.78,17733.1,4844.91,2077.99,51.0
2016-06-17,19.41,689.09,17675.16,4800.34,2071.22,53.0
2016-06-20,18.37,697.08,17804.87,4837.21,2083.25,62.0
2016-06-21,18.48,699.4,17829.73,4843.76,2088.9,67.0
2016-06-22,21.17,698.25,17780.83,4833.32,2085.45,57.0
2016-06-23,17.25,716.67,18011.07,4910.04,2113.32,77.0
2016-06-24,25.76,675.4,17400.75,4707.98,2037.41,42.0
2016-06-27,23.85,648.32,17140.24,4594.44,2000.54,37.0
2016-06-28,18.75,665.75,17409.72,4691.87,2036.09,47.0
2016-06-29,16.64,679.37,17694.68,4779.25,2070.77,60.0
2016-06-30,15.63,691.67,17929.99,4842.67,2098.86,64.0
2016-07-01,14.77,685.01,17949.37,4862.57,2102.95,71.0
2016-07-05,15.58,672.51,17840.62,4822.9,2088.55,67.0
2016-07-06,14.96,673.55,17918.62,4859.16,2099.73,70.0
2016-07-07,14.76,681.82,17895.88,4876.81,2097.9,69.0
2016-07-08,13.2,701.07,18146.74,4956.76,2129.9,78.0
2016-07-11,13.54,708.9,18226.93,4988.64,2137.16,83.0
2016-07-12,13.55,718.36,18347.67,5022.82,2152.14,88.0
2016-07-13,13.04,718.9,18372.12,5005.73,2152.43,86.0
2016-07-14,12.82,724.23,18506.41,5034.06,2163.75,90.0
2016-07-15,12.67,723.64,18516.55,5029.59,2161.74,89.0
2016-07-18,12.44,734.54,18533.05,5055.78,2166.89,91.0
2016-07-19,11.97,731.78,18559.01,5036.37,2163.78,87.0
2016-07-20,11.77,743.74,18595.03,5089.93,2173.02,90.0
2016-07-21,12.74,738.3,18517.23,5073.9,2165.17,85.0
2016-07-22,12.02,742.37,18570.85,5100.16,2175.03,86.0
2016-07-25,12.87,746.44,18493.06,5097.63,2168.48,85.0
2016-07-26,13.05,774.92,18473.75,5110.05,2169.18,85.0
2016-07-27,12.83,774.93,18472.17,5139.81,2166.58,82.0
2016-07-28,12.72,770.52,18456.35,5154.98,2170.06,82.0
2016-07-29,11.87,766.78,18432.24,5162.13,2173.6,79.0
2016-08-01,12.44,768.02,18404.51,5184.2,2170.84,77.0
2016-08-02,13.37,755.73,18313.77,5137.73,2157.03,77.0
2016-08-03,12.86,756.53,18355.0,5159.74,2163.79,81.0
2016-08-04,12.42,763.57,18352.05,5166.25,2164.25,80.0
2016-08-05,11.39,773.78,18543.53,5221.12,2182.87,86.0
2016-08-08,11.5,772.44,18529.29,5213.14,2180.89,84.0
2016-08-09,11.66,778.78,18533.05,5225.48,2181.74,80.0
2016-08-10,12.05,772.82,18495.66,5204.58,2175.49,74.0
2016-08-11,11.68,776.26,18613.52,5228.4,2185.79,80.0
2016-08-12,11.55,779.84,18576.47,5232.89,2184.05,75.0
2016-08-15,11.81,790.44,18636.05,5262.02,2190.15,81.0
2016-08-16,12.64,784.61,18552.02,5227.11,2178.15,77.0
2016-08-17,12.19,784.61,18573.94,5228.66,2182.22,76.0
2016-08-18,11.43,790.16,18597.7,5240.15,2187.02,78.0
2016-08-19,11.34,797.06,18552.57,5238.38,2183.87,77.0
2016-08-22,12.27,797.29,18529.42,5244.6,2182.64,72.0
2016-08-23,12.38,801.31,18547.3,5260.08,2186.9,76.0
2016-08-24,13.45,794.34,18481.48,5217.69,2175.44,69.0
