Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
KNN,Model 1,Holdout Set,"n_neighbors = 5, weights = distance",0.029696,0.114523,0.029873,0.013418
KNN,Model 1,Training Set,"n_neighbors = 5, weights = distance",0.000000,0.000000,1.000000,1.000000
KNN,Model 2,Holdout Set,"n_neighbors = 5, weights = distance",0.030859,0.117781,-0.008120,-0.025220
KNN,Model 2,Training Set,"n_neighbors = 5, weights = distance",0.000000,0.000000,1.000000,1.000000
KNN,Model 3,Holdout Set,"n_neighbors = 5, weights = distance",0.005525,0.053265,0.381300,0.370660
KNN,Model 3,Training Set,"n_neighbors = 5, weights = distance",0.000000,0.000000,1.000000,1.000000
KNN,Model 4,Holdout Set,"n_neighbors = 5, weights = distance",0.005521,0.054001,0.381797,0.371165
KNN,Model 4,Training Set,"n_neighbors = 5, weights = distance",0.000000,0.000000,1.000000,1.000000
Lasso,Model 1,Holdout Set,alpha = 0.005,0.024767,0.113275,0.190885,0.177161
Lasso,Model 1,Training Set,alpha = 0.005,0.028350,0.092908,0.262260,0.260575
Lasso,Model 2,Holdout Set,alpha = 0.005,0.024588,0.109375,0.196741,0.183116
Lasso,Model 2,Training Set,alpha = 0.005,0.029110,0.094516,0.249317,0.247551
Lasso,Model 3,Holdout Set,alpha = 0.005,0.003085,0.033568,0.654540,0.648599
Lasso,Model 3,Training Set,alpha = 0.005,0.002383,0.030652,0.673278,0.672522
Lasso,Model 4,Holdout Set,alpha = 0.005,0.003086,0.033546,0.654484,0.648543
Lasso,Model 4,Training Set,alpha = 0.005,0.002409,0.030853,0.672510,0.671730
OLS,Model 1,Holdout Set,fit_intercept = False,0.064104,0.205312,-1.094204,-1.129726
OLS,Model 1,Holdout Set,fit_intercept = True,0.062447,0.197011,-1.040063,-1.074666
OLS,Model 1,Training Set,fit_intercept = False,0.028434,0.096009,0.260052,0.258361
OLS,Model 1,Training Set,fit_intercept = True,0.027439,0.091613,0.285970,0.284339
OLS,Model 2,Holdout Set,fit_intercept = False,0.035809,0.146125,-0.169848,-0.189691
OLS,Model 2,Holdout Set,fit_intercept = True,0.043579,0.168375,-0.423686,-0.447835
OLS,Model 2,Training Set,fit_intercept = False,0.028709,0.096216,0.259667,0.257925
OLS,Model 2,Training Set,fit_intercept = True,0.027820,0.092315,0.282597,0.280909
OLS,Model 3,Holdout Set,fit_intercept = False,0.003080,0.035069,0.655114,0.649183
OLS,Model 3,Holdout Set,fit_intercept = True,0.013490,0.105828,-0.510572,-0.536549
OLS,Model 3,Training Set,fit_intercept = False,0.013962,0.109883,-0.914001,-0.918426
OLS,Model 3,Training Set,fit_intercept = True,0.002184,0.029442,0.700633,0.699941
OLS,Model 4,Holdout Set,fit_intercept = False,0.013075,0.102787,-0.464142,-0.489321
OLS,Model 4,Holdout Set,fit_intercept = True,0.003066,0.035741,0.656653,0.650748
OLS,Model 4,Training Set,fit_intercept = False,0.014064,0.110248,-0.911976,-0.916529
OLS,Model 4,Training Set,fit_intercept = True,0.002206,0.029644,0.700034,0.699319
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.019432,0.094826,0.365184,0.354906
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.019250,0.094480,0.371116,0.360935
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.019220,0.094389,0.372116,0.361951
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.019425,0.094502,0.365419,0.355145
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.019375,0.094452,0.367034,0.356786
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.019309,0.094351,0.369183,0.358970
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.020228,0.095159,0.339188,0.328489
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.019857,0.094822,0.351295,0.340793
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.019895,0.095062,0.350068,0.339545
RF,Model 1,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.020620,0.093305,0.326367,0.315461
RF,Model 1,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.020609,0.093593,0.326726,0.315826
RF,Model 1,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.020376,0.093213,0.334327,0.323550
RF,Model 1,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.021020,0.094189,0.313315,0.302197
RF,Model 1,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.020968,0.093980,0.315015,0.303924
RF,Model 1,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.020737,0.093501,0.322557,0.311589
RF,Model 1,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.020657,0.093997,0.325161,0.314235
RF,Model 1,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.020694,0.094212,0.323947,0.313001
RF,Model 1,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.020567,0.093771,0.328117,0.317239
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.019307,0.091995,0.369252,0.359040
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.019282,0.091319,0.370089,0.359890
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.019357,0.091694,0.367620,0.357382
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.019970,0.092408,0.347601,0.337039
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.019766,0.092207,0.354260,0.343806
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.019716,0.092315,0.355915,0.345487
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.019761,0.092991,0.354448,0.343997
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.019184,0.091545,0.373297,0.363151
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.019266,0.091791,0.370599,0.360408
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.018986,0.092997,0.379761,0.369719
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.018833,0.092703,0.384758,0.374797
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.018818,0.092759,0.385241,0.375288
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.019231,0.093676,0.371736,0.361564
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.019059,0.093135,0.377359,0.367278
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.019025,0.093153,0.378462,0.368399
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.019809,0.093656,0.352868,0.342390
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.019445,0.093331,0.364758,0.354474
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.019462,0.093416,0.364188,0.353894
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.020060,0.091862,0.344661,0.334051
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.020039,0.092085,0.345335,0.334736
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.019975,0.091844,0.347442,0.336877
