Model,Rank,Feature,Importance,Cumulative_Importance
Model 1,1,Spread_cur,0.3088770282366274,0.3088770282366274
Model 1,2,TradingTurnover_cur,0.06909028723323761,0.377967315469865
Model 1,3,TradingMoney_cur,0.06901732357362185,0.44698463904348684
Model 1,4,QuarterlyReturn_Lag1,0.06807359117930534,0.5150582302227922
Model 1,5,TradingVolume_cur,0.06135963910171736,0.5764178693245096
Model 1,6,SOX_QoQ,0.04513301846950588,0.6215508877940155
Model 1,7,SP500_QoQ,0.03675037004813516,0.6583012578421507
Model 1,8,ROE_last1,0.03385445022433028,0.692155708066481
Model 1,9,VIX_QoQ,0.03331551253899108,0.7254712206054721
Model 1,10,Last3mCumulativeRevenue_last1,0.0251110772602429,0.750582297865715
Model 1,11,DJIA_QoQ,0.017663601891037946,0.768245899756753
Model 1,12,IXIC_QoQ,0.015533397300331953,0.7837792970570849
Model 1,13,VIX_QoQ_Lag2,0.014502385712740632,0.7982816827698256
Model 1,14,EPS_last1,0.014397739651126605,0.8126794224209521
Model 1,15,FnG_QoQ_Lag2,0.014377874566988864,0.8270572969879411
Model 1,16,ROA_last1,0.01424274926619306,0.8413000462541341
Model 1,17,VIX_QoQ_Lag1,0.012174944587879714,0.8534749908420138
Model 1,18,Last3mCumulativeRevenueGrowthRate_last1,0.012076396232039778,0.8655513870740537
Model 1,19,QuarterlyReturn_Lag2,0.010490253658480579,0.8760416407325342
Model 1,20,QuarterlyReturn_Lag3,0.00927043457468142,0.8853120753072157
Model 1,1,Spread_cur,0.32294673337540997,0.32294673337540997
Model 1,2,TradingTurnover_cur,0.07599305379210126,0.3989397871675112
Model 1,3,TradingVolume_cur,0.06462780236806456,0.46356758953557575
Model 1,4,TradingMoney_cur,0.06144913961615161,0.5250167291517274
Model 1,5,QuarterlyReturn_Lag1,0.05937805380876981,0.5843947829604972
Model 1,6,SOX_QoQ,0.04553933612566377,0.6299341190861609
Model 1,7,VIX_QoQ,0.03395465694144062,0.6638887760276015
Model 1,8,SP500_QoQ,0.028233423256491582,0.6921221992840931
Model 1,9,ROE_last1,0.026027904197551525,0.7181501034816447
Model 1,10,Last3mCumulativeRevenue_last1,0.025794847686272042,0.7439449511679167
Model 1,11,DJIA_QoQ,0.023071839615593365,0.76701679078351
Model 1,12,IXIC_QoQ,0.0191208971460546,0.7861376879295646
Model 1,13,FnG_QoQ_Lag2,0.016096111830412225,0.8022337997599769
Model 1,14,VIX_QoQ_Lag2,0.013919416814763812,0.8161532165747407
Model 1,15,EPS_last1,0.013638812099983702,0.8297920286747245
Model 1,16,QuarterlyReturn_Lag3,0.01231659758111653,0.842108626255841
