Model,Dataset,MSE,MAE,R-Squared,Adj-R-Squared
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.025412,0.087298,0.338709,0.337514
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.021779,0.098299,0.288517,0.279004
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.025645,0.087342,0.332633,0.331428
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.021923,0.098467,0.283808,0.274232
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.025601,0.087258,0.333797,0.332594
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.021748,0.098265,0.289532,0.280033
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.025985,0.087130,0.323788,0.322567
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.021253,0.097520,0.305690,0.296407
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.026036,0.087139,0.322477,0.321253
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.021570,0.097969,0.295323,0.285902
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.026057,0.087137,0.321929,0.320705
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.021562,0.098082,0.295591,0.286173
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.026612,0.087688,0.307471,0.306220
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.021621,0.098478,0.293677,0.284234
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.026493,0.087319,0.310569,0.309324
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.021802,0.098418,0.287750,0.278227
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.026438,0.087145,0.312005,0.310763
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.021600,0.098037,0.294360,0.284925
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.026526,0.088815,0.309710,0.308464
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.023058,0.099872,0.246737,0.236665
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.026963,0.089325,0.298340,0.297072
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.023155,0.100204,0.243564,0.233450
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.026982,0.089160,0.297849,0.296581
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.022887,0.099487,0.252298,0.242301
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.027099,0.088943,0.294808,0.293534
