Model,Rank,Feature,Importance,Cumulative_Importance
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",1,Spread_cur,0.3413303400400951,0.3413303400400951
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",2,TradingTurnover_cur,0.07893982097557059,0.4202701610156657
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",3,TradingMoney_cur,0.06116984058847015,0.48144000160413586
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",4,TradingVolume_cur,0.054102188995176693,0.5355421905993125
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",5,SOX_QoQ,0.052379041134038976,0.5879212317333515
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",6,QuarterlyReturn_Lag1,0.04201509267898294,0.6299363244123345
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",7,VIX_QoQ,0.03586106230667738,0.6657973867190119
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",8,Last3mCumulativeRevenue_last1,0.027103639916621382,0.6929010266356332
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",9,IXIC_QoQ,0.023499197623100633,0.7164002242587338
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",10,DJIA_QoQ,0.02274299772188385,0.7391432219806177
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",11,QuarterlyReturn_Lag3,0.019772884775243475,0.7589161067558612
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",12,EPS_last1,0.017868208044925126,0.7767843148007864
