Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
KNN,Model 1,Holdout Set,"n_neighbors = 5, weights = distance",0.024857,0.099992,0.187945,0.176465
KNN,Model 1,Training Set,"n_neighbors = 5, weights = distance",0.000000,0.000000,1.000000,1.000000
KNN,Model 2,Holdout Set,"n_neighbors = 5, weights = distance",0.024652,0.099853,0.194649,0.183263
KNN,Model 2,Training Set,"n_neighbors = 5, weights = distance",0.000000,0.000000,1.000000,1.000000
KNN,Model 3,Holdout Set,"n_neighbors = 5, weights = distance",0.004267,0.040463,0.522208,0.515360
KNN,Model 3,Training Set,"n_neighbors = 5, weights = distance",0.000000,0.000000,1.000000,1.000000
KNN,Model 4,Holdout Set,"n_neighbors = 5, weights = distance",0.004241,0.040437,0.525085,0.518278
KNN,Model 4,Training Set,"n_neighbors = 5, weights = distance",0.000000,0.000000,1.000000,1.000000
Lasso,Model 1,Holdout Set,alpha = 0.005,0.024767,0.113274,0.190889,0.179450
Lasso,Model 1,Training Set,alpha = 0.005,0.028350,0.092908,0.262261,0.260852
Lasso,Model 2,Holdout Set,alpha = 0.005,0.024588,0.109375,0.196743,0.185386
Lasso,Model 2,Training Set,alpha = 0.005,0.029110,0.094516,0.249317,0.247841
Lasso,Model 3,Holdout Set,alpha = 0.005,0.003085,0.033568,0.654540,0.649588
Lasso,Model 3,Training Set,alpha = 0.005,0.002383,0.030652,0.673278,0.672647
Lasso,Model 4,Holdout Set,alpha = 0.005,0.003086,0.033546,0.654484,0.649532
Lasso,Model 4,Training Set,alpha = 0.005,0.002409,0.030853,0.672510,0.671858
OLS,Model 1,Holdout Set,fit_intercept = False,0.059740,0.194303,-0.951633,-0.979224
OLS,Model 1,Holdout Set,fit_intercept = True,0.058803,0.188923,-0.921021,-0.948180
OLS,Model 1,Training Set,fit_intercept = False,0.028438,0.096011,0.259957,0.258544
OLS,Model 1,Training Set,fit_intercept = True,0.027442,0.091615,0.285876,0.284513
OLS,Model 2,Holdout Set,fit_intercept = False,0.025829,0.114889,0.156190,0.144260
OLS,Model 2,Holdout Set,fit_intercept = True,0.030102,0.129225,0.016590,0.002686
OLS,Model 2,Training Set,fit_intercept = False,0.028713,0.096217,0.259570,0.258114
OLS,Model 2,Training Set,fit_intercept = True,0.027823,0.092316,0.282500,0.281089
OLS,Model 3,Holdout Set,fit_intercept = False,0.003061,0.034881,0.657273,0.652361
OLS,Model 3,Holdout Set,fit_intercept = True,0.012456,0.101404,-0.394798,-0.414790
OLS,Model 3,Training Set,fit_intercept = False,0.013962,0.109884,-0.914063,-0.917760
OLS,Model 3,Training Set,fit_intercept = True,0.002184,0.029444,0.700571,0.699993
OLS,Model 4,Holdout Set,fit_intercept = False,0.013394,0.104102,-0.499850,-0.521347
OLS,Model 4,Holdout Set,fit_intercept = True,0.003078,0.035790,0.655270,0.650329
OLS,Model 4,Training Set,fit_intercept = False,0.014065,0.110249,-0.912040,-0.915844
OLS,Model 4,Training Set,fit_intercept = True,0.002207,0.029646,0.699971,0.699374
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.019390,0.094609,0.366567,0.358097
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.019251,0.094379,0.371092,0.362684
RF,Model 1,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.019216,0.094292,0.372223,0.363830
