Algorithm,Model,Parameters,Rank,Feature,Importance,Cumulative_Importance
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",1,Spread_cur,0.344068866799254,0.344068866799254
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",2,TradingTurnover_cur,0.07860215094786908,0.4226710177471231
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",3,TradingMoney_cur,0.06114902993519753,0.4838200476823207
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",4,TradingVolume_cur,0.05369308329257357,0.5375131309748943
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",5,SOX_QoQ,0.05227014058892537,0.5897832715638196
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",6,QuarterlyReturn_Lag1,0.04204336297748663,0.6318266345413063
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",7,VIX_QoQ,0.035861062306677356,0.6676876968479837
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",8,Last3mCumulativeRevenue_last1,0.026562399917558176,0.6942500967655418
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",9,IXIC_QoQ,0.023602700975418337,0.7178527977409602
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",10,DJIA_QoQ,0.022608320259329278,0.7404611180002895
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",11,QuarterlyReturn_Lag3,0.019737935345871826,0.7601990533461613
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",12,EPS_last1,0.017864385476083232,0.7780634388222446
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",13,SP500_QoQ,0.015548188716849239,0.7936116275390939
