Model,Algorithm,Training_MSE,Training_MAE,Training_R-Squared,Training_Adj R-Squared,Holdout_MSE,Holdout_MAE,Holdout_R-Squared,Holdout_Adj R-Squared
Model 1,KNN,0.000000,0.000000,1.000000,1.000000,0.024438,0.099869,0.201656,0.193017
Model 2,KNN,0.000000,0.000000,1.000000,1.000000,0.024259,0.099729,0.207498,0.198923
Model 3,KNN,0.000000,0.000000,1.000000,1.000000,0.004158,0.040068,0.534386,0.529278
Model 4,KNN,0.000000,0.000000,1.000000,1.000000,0.004164,0.040093,0.533742,0.528627
,,,,,,,,,
Model 1,LR - Lasso,0.028385,0.093002,0.261336,0.260254,0.025042,0.113872,0.181893,0.173040
Model 2,LR - Lasso,0.029446,0.095236,0.240662,0.239516,0.022493,0.101157,0.265178,0.257227
Model 3,LR - Lasso,0.002383,0.030652,0.673278,0.672793,0.003085,0.033568,0.654540,0.650750
Model 4,LR - Lasso,0.002409,0.030853,0.672510,0.672010,0.003086,0.033546,0.654484,0.650694
,,,,,,,,,
Model 1,LR - OLS,0.027515,0.091836,0.283978,0.282929,0.208382,0.395624,-5.807587,-5.881248
Model 2,LR - OLS,0.027874,0.092424,0.281189,0.280104,4.805808,2.120691,-155.999881,-157.698672
Model 3,LR - OLS,0.002187,0.029461,0.700164,0.699720,0.005339,0.054514,0.402158,0.395600
Model 4,LR - OLS,0.002209,0.029649,0.699653,0.699194,0.050736,0.216068,-4.681366,-4.743687
,,,,,,,,,
Model 1,LR - Ridge,0.027532,0.091862,0.283544,0.282494,0.101019,0.257370,-2.300167,-2.335876
Model 2,LR - Ridge,0.027935,0.092629,0.279618,0.278531,0.187106,0.390534,-5.112521,-5.178660
Model 3,LR - Ridge,0.002190,0.029447,0.699795,0.699350,0.010518,0.090496,-0.177850,-0.190770
Model 4,LR - Ridge,0.002211,0.029629,0.699399,0.698940,0.011565,0.097137,-0.295007,-0.309213
,,,,,,,,,
Model 1,Random Forest,0.017463,0.068281,0.545551,0.544931,0.018887,0.093062,0.382997,0.376791
Model 2,Random Forest,0.017906,0.069126,0.538247,0.537599,0.020936,0.098496,0.316049,0.309170
Model 3,Random Forest,0.001501,0.024186,0.794196,0.793912,0.002714,0.030947,0.696070,0.692971
Model 4,Random Forest,0.001533,0.024390,0.791631,0.791335,0.002774,0.031332,0.689330,0.686162
,,,,,,,,,
Model 1,XGBoost,0.008802,0.062691,0.770934,0.770598,0.021874,0.093963,0.285396,0.277664
Model 2,XGBoost,0.008836,0.063155,0.772135,0.771791,0.020634,0.092299,0.325920,0.318626
Model 3,XGBoost,0.001254,0.024035,0.828053,0.827798,0.002801,0.031610,0.686344,0.682904
Model 4,XGBoost,0.001255,0.024100,0.829354,0.829094,0.002907,0.031931,0.674465,0.670894
