Model,Algorithm,Rank,Feature,Importance
Model 1,Random Forest,1,Spread_cur,0.5587775508799392
Model 1,Random Forest,2,SOX_QoQ,0.11133725079233128
Model 1,Random Forest,3,QuarterlyReturn_Lag1,0.04464551001670593
Model 1,Random Forest,4,QuarterlyReturn_Lag2,0.03308201625962298
Model 1,Random Forest,5,ROE_last1,0.024383277980029445
Model 1,Random Forest,6,QuarterlyReturn_Lag3,0.020099201371233933
Model 1,Random Forest,7,EPS_last1,0.019888493714865178
Model 1,Random Forest,8,TradingVolume_cur,0.019742442075496802
Model 1,Random Forest,9,VIX_QoQ,0.015661578400084506
Model 1,Random Forest,10,FnG_QoQ,0.012305021274551223
Model 1,Random Forest,11,TradingTurnover_cur,0.012271090577405679
Model 1,Random Forest,12,TradingMoney_cur,0.011619950394704296
Model 1,Random Forest,13,IXIC_QoQ_Lag1,0.01122149252190701
Model 1,Random Forest,14,ROA_last1,0.011181792927116624
Model 1,Random Forest,15,Last3mCumulativeRevenueGrowthRate_last1,0.010292282148708944
Model 1,Random Forest,16,Last3mCumulativeRevenue_last1,0.008921120539890992
Model 1,Random Forest,17,TotalUnempPct_last1,0.008904651960294984
Model 1,Random Forest,18,FnG_QoQ_Lag2,0.007353742486042046
Model 1,Random Forest,19,VIX_QoQ_Lag3,0.006788744236569433
Model 1,Random Forest,20,DJIA_QoQ,0.006281206869986805
Model 2,Random Forest,1,Spread_cur,0.555204962040157
Model 2,Random Forest,2,QuarterlyReturn_Lag1,0.0440748157143145
Model 2,Random Forest,3,VIX_YoY,0.04208598696560625
Model 2,Random Forest,4,FnG_YoY,0.0391878664157494
Model 2,Random Forest,5,QuarterlyReturn_Lag2,0.036356092133058814
Model 2,Random Forest,6,FnG_YoY_Lag2,0.02493287080638407
Model 2,Random Forest,7,QuarterlyReturn_Lag3,0.022279033513338393
Model 2,Random Forest,8,EPS_last1,0.01937159658844244
Model 2,Random Forest,9,TradingVolume_cur,0.018848140985313514
Model 2,Random Forest,10,ROE_last1,0.018458148835496336
Model 2,Random Forest,11,SOX_YoY,0.015916167097259695
Model 2,Random Forest,12,TradingTurnover_cur,0.011752656137731394
Model 2,Random Forest,13,VIX_YoY_Lag1,0.011562531342005458
Model 2,Random Forest,14,ROA_last1,0.010705245985223516
Model 2,Random Forest,15,Last3mCumulativeRevenueGrowthRate_last1,0.010662023522962458
Model 2,Random Forest,16,FnG_YoY_Lag1,0.010074735440871561
Model 2,Random Forest,17,TradingMoney_cur,0.010060214998390766
Model 2,Random Forest,18,Last3mCumulativeRevenue_last1,0.00976524435421673
Model 2,Random Forest,19,VIX_YoY_Lag3,0.009421944436370719
Model 2,Random Forest,20,IXIC_YoY_Lag1,0.007982224479574302
Model 3,Random Forest,1,QuarterlyVolatility_Lag1,0.7948851759101193
Model 3,Random Forest,2,Spread_cur,0.092144978357044
Model 3,Random Forest,3,QuarterlyVolatility_Lag3,0.02124596892215662
Model 3,Random Forest,4,QuarterlyVolatility_Lag2,0.011457527058397615
Model 3,Random Forest,5,Last3mCumulativeRevenueGrowthRate_last1,0.006083348511655088
Model 3,Random Forest,6,SOX_QoQ,0.0058984015248560425
Model 3,Random Forest,7,ROE_last1,0.005300910728284363
Model 3,Random Forest,8,FnG_QoQ_Lag2,0.0044656219960197314
Model 3,Random Forest,9,VIX_QoQ,0.004408902367341849
Model 3,Random Forest,10,TradingMoney_cur,0.0038775380776294743
Model 3,Random Forest,11,TradingVolume_cur,0.0036203296638598805
Model 3,Random Forest,12,Last3mCumulativeRevenue_last1,0.003521724156244295
Model 3,Random Forest,13,ROA_last1,0.003320725112556037
Model 3,Random Forest,14,FnG_QoQ_Lag1,0.0031342437698722715
Model 3,Random Forest,15,GrossMargin_last1,0.003060895178637816
Model 3,Random Forest,16,FnG_QoQ,0.003043135060600429
Model 3,Random Forest,17,FnG_QoQ_Lag3,0.00298387786466913
Model 3,Random Forest,18,EPS_last1,0.0028565122023174487
Model 3,Random Forest,19,TradingTurnover_cur,0.002682369564911914
Model 3,Random Forest,20,DJIA_QoQ,0.0021533636643986695
Model 4,Random Forest,1,QuarterlyVolatility_Lag1,0.79755286693571
Model 4,Random Forest,2,Spread_cur,0.09099480158379863
Model 4,Random Forest,3,QuarterlyVolatility_Lag3,0.021348272099374992
Model 4,Random Forest,4,QuarterlyVolatility_Lag2,0.011539064281899256
Model 4,Random Forest,5,Last3mCumulativeRevenueGrowthRate_last1,0.006040134062771494
Model 4,Random Forest,6,FnG_YoY,0.005767421618933316
Model 4,Random Forest,7,ROE_last1,0.005258225815655683
Model 4,Random Forest,8,FnG_YoY_Lag2,0.004698919060075558
Model 4,Random Forest,9,TradingMoney_cur,0.004152096996769444
Model 4,Random Forest,10,TradingVolume_cur,0.0035553552733070294
Model 4,Random Forest,11,Last3mCumulativeRevenue_last1,0.0035376923229955607
Model 4,Random Forest,12,ROA_last1,0.0033294393778437767
Model 4,Random Forest,13,GrossMargin_last1,0.003198742933259218
Model 4,Random Forest,14,FnG_YoY_Lag1,0.0031268772424208786
Model 4,Random Forest,15,EPS_last1,0.0029030509810121386
Model 4,Random Forest,16,TradingTurnover_cur,0.0027636088694792905
Model 4,Random Forest,17,FnG_YoY_Lag3,0.002670395150015051
Model 4,Random Forest,18,TotalUnempPct_last1,0.0024116875345963247
Model 4,Random Forest,19,VIX_YoY,0.002395276887634544
Model 4,Random Forest,20,DJIA_YoY,0.0021984755947814364
Model 1,XGBoost,1,Spread_cur,0.1041940301656723
Model 1,XGBoost,2,SOX_QoQ,0.09490152448415756
Model 1,XGBoost,3,SP500_QoQ_Lag1,0.0581108033657074
Model 1,XGBoost,4,FnG_QoQ_Lag3,0.05627613514661789
Model 1,XGBoost,5,IXIC_QoQ_Lag1,0.05406387150287628
Model 1,XGBoost,6,QuarterlyReturn_Lag1,0.04053296148777008
Model 1,XGBoost,7,DJIA_QoQ_Lag1,0.031513623893260956
Model 1,XGBoost,8,VIX_QoQ,0.03144572675228119
Model 1,XGBoost,9,Quarter_4,0.028016308322548866
Model 1,XGBoost,10,TotalUnempPct_last1,0.027896573767066002
Model 1,XGBoost,11,OverallIndex_last1,0.026754943653941154
Model 1,XGBoost,12,DJIA_QoQ,0.025569802150130272
Model 1,XGBoost,13,IXIC_QoQ_Lag2,0.024173390120267868
Model 1,XGBoost,14,QuarterlyReturn_Lag3,0.023871365934610367
Model 1,XGBoost,15,TradingTurnover_cur,0.023489970713853836
Model 1,XGBoost,16,RediscountRate_last1,0.02269134111702442
Model 1,XGBoost,17,TradingMoney_cur,0.021354902535676956
Model 1,XGBoost,18,FnG_QoQ,0.020341109484434128
Model 1,XGBoost,19,QuarterlyReturn_Lag2,0.01859208196401596
Model 1,XGBoost,20,SOX_QoQ_Lag1,0.018426207825541496
Model 2,XGBoost,1,Spread_cur,0.09123725444078445
Model 2,XGBoost,2,FnG_YoY,0.07330531626939774
