Model,Algorithm,Training_MSE,Training_MAE,Training_R-Squared,Training_Adj R-Squared,Holdout_MSE,Holdout_MAE,Holdout_R-Squared,Holdout_Adj R-Squared
Model 1,KNN,0.000000,0.000000,1.000000,1.000000,0.029958,0.118618,0.032351,0.019907
Model 2,KNN,0.000000,0.000000,1.000000,1.000000,0.029902,0.114246,0.034133,0.021712
Model 3,KNN,0.000000,0.000000,1.000000,1.000000,0.006490,0.060049,0.286007,0.276699
Model 4,KNN,0.000000,0.000000,1.000000,1.000000,0.006797,0.062971,0.252236,0.242487
,,,,,,,,,
Model 1,LR - Lasso,0.044479,0.098858,0.125336,0.123816,0.026397,0.116131,0.147363,0.136399
Model 2,LR - Lasso,0.045282,0.099420,0.117601,0.116021,0.023288,0.096845,0.247769,0.238096
Model 3,LR - Lasso,0.002991,0.033515,0.635106,0.634464,0.003552,0.036217,0.609229,0.604135
Model 4,LR - Lasso,0.003000,0.033606,0.635678,0.635018,0.003551,0.036192,0.609362,0.604269
,,,,,,,,,
Model 1,LR - OLS,0.043221,0.095842,0.150075,0.148598,0.232141,0.418172,-6.498308,-6.594731
Model 2,LR - OLS,0.043696,0.095939,0.148516,0.146992,0.080973,0.221559,-1.615499,-1.649133
Model 3,LR - OLS,0.002807,0.031875,0.657549,0.656947,0.009008,0.079966,0.009008,-0.003911
Model 4,LR - OLS,0.002802,0.031918,0.659714,0.659097,0.019761,0.126345,-1.173812,-1.202151
,,,,,,,,,
Model 1,LR - Ridge,0.043238,0.095836,0.149740,0.148262,0.107492,0.268785,-2.472074,-2.516723
Model 2,LR - Ridge,0.043739,0.095967,0.147671,0.146145,0.082799,0.234752,-1.674459,-1.708851
Model 3,LR - Ridge,0.002812,0.031885,0.656984,0.656380,0.003692,0.040902,0.593864,0.588569
Model 4,LR - Ridge,0.002805,0.031905,0.659360,0.658743,0.006257,0.063850,0.311706,0.302733
,,,,,,,,,
Model 1,Random Forest,0.035815,0.084909,0.295700,0.294476,0.020820,0.094569,0.327486,0.318838
Model 2,Random Forest,0.036225,0.085494,0.294102,0.292838,0.020718,0.092447,0.330779,0.322173
Model 3,Random Forest,0.002651,0.030927,0.676597,0.676028,0.003289,0.033803,0.638163,0.633445
Model 4,Random Forest,0.002655,0.030965,0.677540,0.676955,0.003290,0.033802,0.638079,0.633361
,,,,,,,,,
Model 1,XGBoost,0.016513,0.072163,0.675275,0.674710,0.020949,0.097381,0.323318,0.314616
Model 2,XGBoost,0.017354,0.072778,0.661837,0.661231,0.019823,0.089838,0.359690,0.351456
Model 3,XGBoost,0.001933,0.027833,0.764229,0.763814,0.003029,0.033272,0.666743,0.662398
Model 4,XGBoost,0.001936,0.027856,0.764872,0.764446,0.003066,0.032596,0.662673,0.658275
