Model,Algorithm,Training_MSE,Training_MAE,Training_R-Squared,Training_Adj R-Squared,Holdout_MSE,Holdout_MAE,Holdout_R-Squared,Holdout_Adj R-Squared
Model 1,KNN,0.000000,0.000000,1.000000,1.000000,0.046534,0.132831,-0.177284,-0.207778
Model 2,KNN,0.000000,0.000000,1.000000,1.000000,0.050506,0.142654,-0.277780,-0.310877
Model 3,KNN,0.000000,0.000000,1.000000,1.000000,0.006433,0.052224,0.288638,0.269899
Model 4,KNN,0.000000,0.000000,1.000000,1.000000,0.005712,0.047606,0.368353,0.351714
,,,,,,,,,
Model 1,LR - Lasso,0.029903,0.099991,0.217581,0.215664,0.030233,0.119907,0.235125,0.215313
Model 2,LR - Lasso,0.030084,0.100335,0.212832,0.210904,0.028313,0.098323,0.283705,0.265152
Model 3,LR - Lasso,0.002886,0.034689,0.642423,0.641403,0.004139,0.035958,0.542346,0.530290
Model 4,LR - Lasso,0.002886,0.034689,0.642423,0.641403,0.004139,0.035958,0.542346,0.530290
,,,,,,,,,
Model 1,LR - OLS,0.028763,0.097553,0.247409,0.245565,0.339556,0.556638,-7.590575,-7.813084
Model 2,LR - OLS,0.028763,0.097553,0.247409,0.245565,0.034470,0.119992,0.127934,0.105346
Model 3,LR - OLS,0.002698,0.033119,0.665704,0.664750,0.023268,0.134959,-1.572835,-1.640611
Model 4,LR - OLS,0.002698,0.033119,0.665704,0.664750,0.004288,0.043418,0.525822,0.513331
,,,,,,,,,
Model 1,LR - Ridge,0.028768,0.097553,0.247270,0.245426,0.058153,0.187669,-0.471229,-0.509336
Model 2,LR - Ridge,0.028763,0.097542,0.247404,0.245560,0.034720,0.120898,0.121613,0.098861
Model 3,LR - Ridge,0.002699,0.033115,0.665683,0.664730,0.010374,0.083604,-0.147055,-0.177272
Model 4,LR - Ridge,0.002699,0.033117,0.665695,0.664742,0.003893,0.037764,0.569554,0.558215
,,,,,,,,,
Model 1,Random Forest,0.022027,0.084431,0.423654,0.422241,0.025367,0.101321,0.358232,0.341609
Model 2,Random Forest,0.022180,0.085148,0.419651,0.418229,0.024043,0.089568,0.391732,0.375977
Model 3,Random Forest,0.002448,0.031705,0.696722,0.695857,0.003704,0.032877,0.590386,0.579596
Model 4,Random Forest,0.002448,0.031703,0.696716,0.695851,0.003695,0.032849,0.591431,0.580668
,,,,,,,,,
Model 1,XGBoost,0.014110,0.072352,0.630804,0.629900,0.022460,0.090658,0.431765,0.417047
Model 2,XGBoost,0.013956,0.072288,0.634834,0.633939,0.023786,0.087512,0.398236,0.382649
Model 3,XGBoost,0.001748,0.028072,0.783504,0.782887,0.003508,0.031776,0.612121,0.601903
Model 4,XGBoost,0.001752,0.028112,0.782953,0.782334,0.003516,0.031858,0.611236,0.600995
