Model,Algorithm,Training_MSE,Training_MAE,Training_R-Squared,Training_Adj R-Squared,Holdout_MSE,Holdout_MAE,Holdout_R-Squared,Holdout_Adj R-Squared
Model 1,KNN,0.000000,0.000000,1.000000,1.000000,0.027031,0.104013,0.126865,0.118084
Model 2,KNN,0.000000,0.000000,1.000000,1.000000,0.027734,0.104819,0.104178,0.095168
Model 3,KNN,0.000000,0.000000,1.000000,1.000000,0.004424,0.041986,0.513291,0.508328
Model 4,KNN,0.000000,0.000000,1.000000,1.000000,0.004443,0.041970,0.511229,0.506245
,,,,,,,,,
Model 1,LR - Lasso,0.044479,0.098858,0.125336,0.124144,0.026397,0.116131,0.147363,0.138787
Model 2,LR - Lasso,0.045282,0.099420,0.117601,0.116363,0.023288,0.096845,0.247769,0.240203
Model 3,LR - Lasso,0.002991,0.033515,0.635106,0.634603,0.003552,0.036217,0.609229,0.605245
Model 4,LR - Lasso,0.003000,0.033606,0.635678,0.635160,0.003551,0.036192,0.609362,0.605379
,,,,,,,,,
Model 1,LR - OLS,0.043248,0.095899,0.149541,0.148382,0.074617,0.210793,-1.410190,-1.434431
Model 2,LR - OLS,0.043714,0.095995,0.148158,0.146963,0.032044,0.127264,-0.035047,-0.045458
Model 3,LR - OLS,0.002809,0.031885,0.657312,0.656840,0.004820,0.049100,0.469775,0.464369
Model 4,LR - OLS,0.002804,0.031915,0.659498,0.659015,0.003735,0.040458,0.589110,0.584920
,,,,,,,,,
Model 1,LR - Ridge,0.043301,0.095963,0.148497,0.147337,0.073564,0.225306,-1.376179,-1.400079
Model 2,LR - Ridge,0.043752,0.095997,0.147428,0.146232,0.075482,0.229837,-1.438127,-1.462649
Model 3,LR - Ridge,0.002814,0.031887,0.656707,0.656233,0.006661,0.065470,0.267215,0.259743
Model 4,LR - Ridge,0.002806,0.031904,0.659195,0.658711,0.005102,0.054987,0.438716,0.432993
,,,,,,,,,
Model 1,Random Forest,0.035815,0.084909,0.295700,0.294740,0.020826,0.094595,0.327301,0.320535
Model 2,Random Forest,0.036225,0.085493,0.294103,0.293112,0.020719,0.092449,0.330748,0.324017
Model 3,Random Forest,0.002651,0.030927,0.676597,0.676151,0.003289,0.033803,0.638151,0.634461
Model 4,Random Forest,0.002655,0.030965,0.677548,0.677090,0.003289,0.033801,0.638138,0.634448
,,,,,,,,,
Model 1,XGBoost,0.016513,0.072163,0.675275,0.674832,0.020944,0.097407,0.323486,0.316682
Model 2,XGBoost,0.017354,0.072778,0.661837,0.661362,0.019823,0.089838,0.359690,0.353249
Model 3,XGBoost,0.001933,0.027833,0.764229,0.763904,0.003028,0.033267,0.666869,0.663472
Model 4,XGBoost,0.001936,0.027856,0.764872,0.764538,0.003066,0.032596,0.662673,0.659233
