Model,Algorithm,Training_MSE,Training_MAE,Training_R-Squared,Training_Adj R-Squared,Holdout_MSE,Holdout_MAE,Holdout_R-Squared,Holdout_Adj R-Squared
Model 1,KNN,0.000000,0.000000,1.000000,1.000000,0.034634,0.109152,0.123772,0.106071
Model 2,KNN,0.000000,0.000000,1.000000,1.000000,0.044433,0.132831,-0.124128,-0.146838
Model 3,KNN,0.000000,0.000000,1.000000,1.000000,0.004812,0.041067,0.467859,0.456926
Model 4,KNN,0.000000,0.000000,1.000000,1.000000,0.005051,0.041603,0.441445,0.429970
,,,,,,,,,
Model 1,LR - Lasso,0.029903,0.099991,0.217581,0.216078,0.030233,0.119907,0.235125,0.219673
Model 2,LR - Lasso,0.030145,0.100499,0.211240,0.209726,0.028054,0.100354,0.290249,0.275911
Model 3,LR - Lasso,0.002886,0.034689,0.642423,0.641624,0.004139,0.035958,0.542346,0.532943
Model 4,LR - Lasso,0.002886,0.034689,0.642423,0.641624,0.004139,0.035958,0.542346,0.532943
,,,,,,,,,
Model 1,LR - OLS,0.028777,0.097560,0.247046,0.245600,0.321509,0.541150,-7.133988,-7.298311
Model 2,LR - OLS,0.028777,0.097560,0.247046,0.245600,0.038610,0.131376,0.023180,0.003447
Model 3,LR - OLS,0.002699,0.033120,0.665579,0.664832,0.013850,0.101527,-0.531517,-0.562981
Model 4,LR - OLS,0.002699,0.033120,0.665579,0.664832,0.005729,0.054596,0.366565,0.353551
,,,,,,,,,
Model 1,LR - Ridge,0.028781,0.097546,0.246923,0.245477,0.221155,0.441320,-4.595083,-4.708115
Model 2,LR - Ridge,0.028777,0.097549,0.247040,0.245594,0.037736,0.128976,0.045295,0.026008
Model 3,LR - Ridge,0.002700,0.033114,0.665575,0.664827,0.012487,0.095162,-0.380805,-0.409172
Model 4,LR - Ridge,0.002699,0.033116,0.665576,0.664828,0.005514,0.053017,0.390309,0.377784
,,,,,,,,,
Model 1,Random Forest,0.022027,0.084434,0.423644,0.422537,0.025338,0.101188,0.358953,0.346003
Model 2,Random Forest,0.022180,0.085148,0.419652,0.418538,0.024044,0.089638,0.391689,0.379400
Model 3,Random Forest,0.002448,0.031705,0.696715,0.696037,0.003703,0.032875,0.590548,0.582136
Model 4,Random Forest,0.002448,0.031703,0.696712,0.696034,0.003694,0.032847,0.591493,0.583100
,,,,,,,,,
Model 1,XGBoost,0.014093,0.072402,0.631245,0.630537,0.022769,0.092159,0.423966,0.412329
Model 2,XGBoost,0.014210,0.072497,0.628201,0.627487,0.024226,0.088709,0.387086,0.374704
Model 3,XGBoost,0.001749,0.028078,0.783283,0.782798,0.003544,0.031934,0.608066,0.600014
Model 4,XGBoost,0.001752,0.028112,0.782953,0.782467,0.003516,0.031862,0.611267,0.603280
