Model,Algorithm,Rank,Feature,Importance
Model 1,Random Forest,1,Spread_cur,0.5240811787470696
Model 1,Random Forest,2,QuarterlyReturn_Lag1,0.11709724064113948
Model 1,Random Forest,3,TradingVolume_cur,0.10238920663083217
Model 1,Random Forest,4,IXIC_QoQ,0.041014707588890274
Model 1,Random Forest,5,Last3mCumulativeRevenue_last1,0.040682190640115606
Model 1,Random Forest,6,SOX_QoQ,0.030867433443352923
Model 1,Random Forest,7,VIX_QoQ,0.02452617012157055
Model 1,Random Forest,8,ROE_last1,0.02062974873192381
Model 1,Random Forest,9,DJIA_QoQ,0.015857764829175655
Model 1,Random Forest,10,TradingMoney_cur,0.013053865569177871
Model 1,Random Forest,11,TradingTurnover_cur,0.01268383130776777
Model 1,Random Forest,12,FnG_QoQ_Lag1,0.010290685822751616
Model 1,Random Forest,13,FnG_QoQ,0.005472526118764169
Model 1,Random Forest,14,EPS_last1,0.0052917638527190435
Model 1,Random Forest,15,ROA_last1,0.005234196166393787
Model 1,Random Forest,16,GrossMargin_last1,0.004149534740902937
Model 1,Random Forest,17,SP500_QoQ,0.003417411851012855
Model 1,Random Forest,18,QuarterlyReturn_Lag2,0.002737380374774306
Model 1,Random Forest,19,SOX_QoQ_Lag2,0.002564766719464046
Model 1,Random Forest,20,SOX_QoQ_Lag1,0.002168673361737234
Model 2,Random Forest,1,Spread_cur,0.5310310305944779
Model 2,Random Forest,2,QuarterlyReturn_Lag1,0.12951188203435313
Model 2,Random Forest,3,TradingVolume_cur,0.11095897922448801
Model 2,Random Forest,4,Last3mCumulativeRevenue_last1,0.05103184815584662
Model 2,Random Forest,5,FnG_YoY_Lag1,0.03655449746169301
Model 2,Random Forest,6,ROE_last1,0.018549453124806072
Model 2,Random Forest,7,IXIC_YoY,0.016195925577029445
Model 2,Random Forest,8,TradingMoney_cur,0.014517901151527002
Model 2,Random Forest,9,IXIC_YoY_Lag3,0.012068333557372761
Model 2,Random Forest,10,TradingTurnover_cur,0.009281974063952682
Model 2,Random Forest,11,VIX_YoY,0.008381406178029339
Model 2,Random Forest,12,EPS_last1,0.007056581274732637
Model 2,Random Forest,13,SOX_YoY_Lag1,0.00682278233861487
Model 2,Random Forest,14,DJIA_YoY,0.006287411245520249
Model 2,Random Forest,15,VIX_YoY_Lag1,0.0055562798237188795
Model 2,Random Forest,16,ROA_last1,0.004523735141553063
Model 2,Random Forest,17,GrossMargin_last1,0.0031209069898760853
Model 2,Random Forest,18,QuarterlyReturn_Lag2,0.003115680226269322
Model 2,Random Forest,19,FnG_YoY_Lag3,0.0029960385907914344
Model 2,Random Forest,20,FnG_YoY,0.002944326403276209
Model 3,Random Forest,1,QuarterlyVolatility_Lag1,0.9357768365274113
Model 3,Random Forest,2,QuarterlyVolatility_Lag3,0.017549384826246062
Model 3,Random Forest,3,Spread_cur,0.015780538759697354
Model 3,Random Forest,4,QuarterlyVolatility_Lag2,0.006789045554843152
Model 3,Random Forest,5,EPS_last1,0.005061228224683469
Model 3,Random Forest,6,TradingVolume_cur,0.0021805681589759074
Model 3,Random Forest,7,Last3mCumulativeRevenueGrowthRate_last1,0.002049609286327281
Model 3,Random Forest,8,Last3mCumulativeRevenue_last1,0.0019831917334278016
Model 3,Random Forest,9,TradingTurnover_cur,0.0017499003422112606
Model 3,Random Forest,10,TradingMoney_cur,0.0013624465456649989
Model 3,Random Forest,11,ROE_last1,0.0012137489347159595
Model 3,Random Forest,12,FnG_QoQ_Lag3,0.0011922403723001343
Model 3,Random Forest,13,FnG_QoQ_Lag1,0.0010052767440570246
Model 3,Random Forest,14,ROA_last1,0.0008582182646508198
Model 3,Random Forest,15,SOX_QoQ,0.0007296996058932933
Model 3,Random Forest,16,SP500_QoQ,0.0005873604315600128
Model 3,Random Forest,17,FnG_QoQ,0.00048817104948481693
Model 3,Random Forest,18,IXIC_QoQ,0.0004850691441224905
Model 3,Random Forest,19,VIX_QoQ,0.0004724285828919276
Model 3,Random Forest,20,GrossMargin_last1,0.00046787421233004516
Model 4,Random Forest,1,QuarterlyVolatility_Lag1,0.9358458439844805
Model 4,Random Forest,2,QuarterlyVolatility_Lag3,0.017486107571019777
Model 4,Random Forest,3,Spread_cur,0.01583887451682615
Model 4,Random Forest,4,QuarterlyVolatility_Lag2,0.006830755843281908
Model 4,Random Forest,5,EPS_last1,0.005076335402750237
Model 4,Random Forest,6,TradingVolume_cur,0.0022255937930364556
Model 4,Random Forest,7,Last3mCumulativeRevenueGrowthRate_last1,0.0021881996375211353
Model 4,Random Forest,8,Last3mCumulativeRevenue_last1,0.0019967646672127896
Model 4,Random Forest,9,TradingTurnover_cur,0.0016934129066064974
Model 4,Random Forest,10,FnG_YoY_Lag3,0.0014011506171691527
Model 4,Random Forest,11,TradingMoney_cur,0.0012977043126218045
Model 4,Random Forest,12,ROE_last1,0.0012829821602548795
Model 4,Random Forest,13,FnG_YoY_Lag1,0.0011023085253649564
Model 4,Random Forest,14,ROA_last1,0.000903160165898332
Model 4,Random Forest,15,SP500_YoY,0.0007055677245790795
Model 4,Random Forest,16,IXIC_YoY,0.00046470088765742745
Model 4,Random Forest,17,FnG_YoY_Lag2,0.0004072011041470017
Model 4,Random Forest,18,GrossMargin_last1,0.0004064351488661552
Model 4,Random Forest,19,VIX_YoY,0.0003683659348085289
Model 4,Random Forest,20,SP500_YoY_Lag1,0.00034175228328143966
Model 1,XGBoost,1,Spread_cur,0.0949505940079689
Model 1,XGBoost,2,IXIC_QoQ,0.08515765517950058
Model 1,XGBoost,3,SP500_QoQ_Lag1,0.05316467955708504
Model 1,XGBoost,4,IXIC_QoQ_Lag3,0.051717665046453476
Model 1,XGBoost,5,SOX_QoQ,0.04983518645167351
Model 1,XGBoost,6,DJIA_QoQ,0.04507853463292122
Model 1,XGBoost,7,TradingVolume_cur,0.03842407464981079
Model 1,XGBoost,8,SOX_QoQ_Lag3,0.03484287112951279
Model 1,XGBoost,9,VIX_QoQ,0.0332520566880703
Model 1,XGBoost,10,IXIC_QoQ_Lag1,0.027303094044327736
Model 1,XGBoost,11,QuarterlyReturn_Lag1,0.02695639617741108
Model 1,XGBoost,12,Last3mCumulativeRevenue_last1,0.026635626330971718
Model 1,XGBoost,13,ROE_last1,0.024161670356988907
Model 1,XGBoost,14,IXIC_QoQ_Lag2,0.022043762728571892
Model 1,XGBoost,15,QuarterlyReturn_Lag3,0.021559007465839386
Model 1,XGBoost,16,TradingMoney_cur,0.02042235992848873
Model 1,XGBoost,17,SOX_QoQ_Lag1,0.01918043941259384
Model 1,XGBoost,18,TradingTurnover_cur,0.01876804791390896
Model 1,XGBoost,19,FnG_QoQ,0.018762268126010895
Model 1,XGBoost,20,VIX_QoQ_Lag3,0.01852468214929104
Model 2,XGBoost,1,Spread_cur,0.10018911957740784
Model 2,XGBoost,2,IXIC_YoY_Lag3,0.05509757250547409
Model 2,XGBoost,3,TradingVolume_cur,0.04229997470974922
Model 2,XGBoost,4,IXIC_YoY,0.037613287568092346
Model 2,XGBoost,5,SOX_YoY_Lag1,0.035442549735307693
Model 2,XGBoost,6,IXIC_YoY_Lag2,0.033493444323539734
Model 2,XGBoost,7,SOX_YoY_Lag3,0.033095940947532654
Model 2,XGBoost,8,QuarterlyReturn_Lag1,0.03034146875143051
Model 2,XGBoost,9,Last3mCumulativeRevenue_last1,0.028523052111268044
Model 2,XGBoost,10,FnG_YoY_Lag1,0.028242819011211395
Model 2,XGBoost,11,VIX_YoY_Lag3,0.02784033864736557
Model 2,XGBoost,12,ROE_last1,0.02717607654631138
Model 2,XGBoost,13,VIX_YoY_Lag1,0.026096440851688385
Model 2,XGBoost,14,DJIA_YoY,0.02571745216846466
Model 2,XGBoost,15,VIX_YoY,0.02443086728453636
Model 2,XGBoost,16,VIX_YoY_Lag2,0.023020509630441666
Model 2,XGBoost,17,TradingMoney_cur,0.022904688492417336
Model 2,XGBoost,18,SP500_YoY,0.022718332707881927
Model 2,XGBoost,19,FnG_YoY_Lag3,0.022584401071071625
Model 2,XGBoost,20,SOX_YoY,0.022510288283228874
Model 3,XGBoost,1,QuarterlyVolatility_Lag1,0.4036424458026886
Model 3,XGBoost,2,DJIA_QoQ_Lag2,0.032171834260225296
Model 3,XGBoost,3,FnG_QoQ_Lag3,0.028028015047311783
Model 3,XGBoost,4,SOX_QoQ_Lag2,0.024814460426568985
Model 3,XGBoost,5,SOX_QoQ,0.02438291162252426
Model 3,XGBoost,6,DJIA_QoQ_Lag3,0.02428251877427101
Model 3,XGBoost,7,QuarterlyVolatility_Lag3,0.02328573353588581
Model 3,XGBoost,8,EPS_last1,0.020230285823345184
Model 3,XGBoost,9,FnG_QoQ_Lag1,0.019426584243774414
Model 3,XGBoost,10,VIX_QoQ_Lag1,0.019100597128272057
Model 3,XGBoost,11,TradingTurnover_cur,0.018290041014552116
Model 3,XGBoost,12,Spread_cur,0.01821812614798546
Model 3,XGBoost,13,ESG_climate_related_issues_management_last1,0.017779069021344185
Model 3,XGBoost,14,VIX_QoQ,0.016813106834888458
Model 3,XGBoost,15,Last3mCumulativeRevenue_last1,0.016252124682068825
Model 3,XGBoost,16,QuarterlyVolatility_Lag2,0.016157224774360657
Model 3,XGBoost,17,SP500_QoQ,0.01598830707371235
Model 3,XGBoost,18,ROE_last1,0.01570729725062847
Model 3,XGBoost,19,TotalUnempPct_last1,0.015673132613301277
Model 3,XGBoost,20,SOX_QoQ_Lag1,0.015473062172532082
Model 4,XGBoost,1,QuarterlyVolatility_Lag1,0.38689181208610535
Model 4,XGBoost,2,SP500_YoY_Lag1,0.040352802723646164
Model 4,XGBoost,3,DJIA_YoY_Lag2,0.029311297461390495
Model 4,XGBoost,4,FnG_YoY_Lag3,0.028229136019945145
Model 4,XGBoost,5,IXIC_YoY,0.02295621670782566
Model 4,XGBoost,6,QuarterlyVolatility_Lag3,0.02284828945994377
Model 4,XGBoost,7,VIX_YoY_Lag1,0.022471604868769646
Model 4,XGBoost,8,SP500_YoY,0.021769091486930847
Model 4,XGBoost,9,SP500_YoY_Lag3,0.02145293913781643
Model 4,XGBoost,10,EPS_last1,0.02060101553797722
Model 4,XGBoost,11,SOX_YoY_Lag2,0.01898590475320816
Model 4,XGBoost,12,TradingTurnover_cur,0.018761763349175453
Model 4,XGBoost,13,Spread_cur,0.01804942823946476
Model 4,XGBoost,14,FnG_YoY_Lag1,0.017530839890241623
Model 4,XGBoost,15,ESG_climate_related_issues_management_last1,0.017513124272227287
Model 4,XGBoost,16,QuarterlyVolatility_Lag2,0.016253909096121788
Model 4,XGBoost,17,ROE_last1,0.015903685241937637
Model 4,XGBoost,18,DJIA_YoY,0.01579664647579193
Model 4,XGBoost,19,Last3mCumulativeRevenue_last1,0.01573299989104271
Model 4,XGBoost,20,TotalUnempPct_last1,0.015137175098061562
