Model,Algorithm,Rank,Feature,Importance
Model 1,Random Forest,1,Spread_cur,0.5632463413040957
Model 1,Random Forest,2,QuarterlyReturn_Lag1,0.13178925206823566
Model 1,Random Forest,3,TradingVolume_cur,0.0535104304550627
Model 1,Random Forest,4,ROE_last1,0.03994782832138489
Model 1,Random Forest,5,VIX_QoQ,0.033752687810509066
Model 1,Random Forest,6,QuarterlyReturn_Lag3,0.032357976575228584
Model 1,Random Forest,7,DJIA_QoQ,0.02764195543666975
Model 1,Random Forest,8,Last3mCumulativeRevenue_last1,0.023636559332255586
Model 1,Random Forest,9,TradingTurnover_cur,0.01889453544245003
Model 1,Random Forest,10,TradingMoney_cur,0.007586177863663377
Model 1,Random Forest,11,SP500_QoQ,0.007506921363572737
Model 1,Random Forest,12,IXIC_QoQ,0.007501149693986999
Model 1,Random Forest,13,ROA_last1,0.006856508375598426
Model 1,Random Forest,14,EPS_last1,0.006723127160535064
Model 1,Random Forest,15,SOX_QoQ,0.006012438690027442
Model 1,Random Forest,16,GrossMargin_last1,0.005230862775702896
Model 1,Random Forest,17,QuarterlyReturn_Lag2,0.00491600263228613
Model 1,Random Forest,18,VIX_QoQ_Lag3,0.00365766662776584
Model 1,Random Forest,19,TotalUnempPct_last1,0.0031101752704121135
Model 1,Random Forest,20,VIX_QoQ_Lag1,0.00273550014775544
Model 2,Random Forest,1,Spread_cur,0.5522243830325795
Model 2,Random Forest,2,QuarterlyReturn_Lag1,0.1311593556605472
Model 2,Random Forest,3,TradingVolume_cur,0.059479697055727435
Model 2,Random Forest,4,QuarterlyReturn_Lag3,0.05504035046050472
Model 2,Random Forest,5,ROE_last1,0.04509769591524916
Model 2,Random Forest,6,Last3mCumulativeRevenue_last1,0.033801633253428234
Model 2,Random Forest,7,TradingTurnover_cur,0.022707284708565787
Model 2,Random Forest,8,DJIA_YoY,0.01555353870379875
Model 2,Random Forest,9,TradingMoney_cur,0.010086687662217235
Model 2,Random Forest,10,GrossMargin_last1,0.00860559432783888
Model 2,Random Forest,11,QuarterlyReturn_Lag2,0.008561593048855936
Model 2,Random Forest,12,ROA_last1,0.006871335456146021
Model 2,Random Forest,13,VIX_YoY_Lag1,0.005541484929599813
Model 2,Random Forest,14,EPS_last1,0.00553410612598035
Model 2,Random Forest,15,VIX_YoY,0.005078167557166885
Model 2,Random Forest,16,SOX_YoY,0.004873107102127877
Model 2,Random Forest,17,TotalUnempPct_last1,0.004406158443954845
Model 2,Random Forest,18,VIX_YoY_Lag2,0.003780608922526885
Model 2,Random Forest,19,FnG_YoY,0.0037229882490589653
Model 2,Random Forest,20,VIX_YoY_Lag3,0.0031120171041979674
